City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
70,avarua,CK,-21.2078,-159.775,75.25,53,100,17.27,overcast clouds,0.0,0
71,san policarpo,PH,12.1791,125.5072,82.62,75,100,3.89,light rain,0.57,0
72,general pico,AR,-35.6566,-63.7568,45.68,79,100,13.87,overcast clouds,0.0,0
73,new norfolk,AU,-42.7826,147.0587,44.1,84,93,1.01,overcast clouds,0.0,0
74,vila,PT,42.0304,-8.1588,72.48,17,99,6.35,overcast clouds,0.0,0
75,faanui,PF,-16.4833,-151.75,76.19,69,100,24.65,light rain,0.35,0
76,wuwei,CN,37.9281,102.6414,64.09,75,100,4.52,overcast clouds,0.0,0
77,cape town,ZA,-33.9258,18.4232,69.12,62,0,4.61,clear sky,0.0,0
78,petrokamenskoye,RU,57.716,60.6484,64.81,96,100,3.65,light rain,0.97,0
79,leningradskiy,RU,69.3833,178.4167,30.87,89,46,2.53,scattered clouds,0.0,0
80,makakilo city,US,21.3469,-158.0858,75.56,74,75,12.66,broken clouds,0.0,0
81,savinka,RU,50.0785,47.0994,80.82,37,0,12.5,clear sky,0.0,0
82,mount gambier,AU,-37.8333,140.7667,47.64,68,100,8.81,overcast clouds,0.0,0
83,palembang,ID,-2.9167,104.7458,78.89,89,20,2.3,few clouds,0.0,0
84,lethem,GY,3.3803,-59.7968,78.69,85,91,1.74,moderate rain,1.78,0
85,cidreira,BR,-30.1811,-50.2056,63.1,95,100,10.76,moderate rain,2.0,0
86,natal,BR,-5.795,-35.2094,82.62,69,100,14.97,overcast clouds,0.0,0
87,dikson,RU,73.5069,80.5464,45.59,76,19,15.14,few clouds,0.0,0
88,elko,US,41.0002,-115.5012,71.62,47,100,4.0,overcast clouds,0.0,0
89,sorland,NO,67.667,12.6934,49.86,81,75,10.36,broken clouds,0.0,0
90,port alfred,ZA,-33.5906,26.891,64.18,75,1,4.0,clear sky,0.0,0
91,la ronge,CA,55.1001,-105.2842,68.25,60,20,3.44,few clouds,0.0,0
92,bredasdorp,ZA,-34.5322,20.0403,60.28,68,81,11.01,broken clouds,0.0,0
93,usinsk,RU,65.9939,57.5281,85.24,42,82,10.33,broken clouds,0.0,0
94,mar del plata,AR,-38.0023,-57.5575,54.09,97,100,10.36,mist,0.35,0
95,urumqi,CN,43.801,87.6005,83.35,20,0,6.71,clear sky,0.0,0
96,caravelas,BR,-17.7125,-39.2481,77.95,59,15,6.58,few clouds,0.0,0
97,bima,ID,-8.4667,118.7167,73.69,94,19,4.47,few clouds,0.0,0
98,hithadhoo,MV,-0.6,73.0833,83.71,74,56,11.36,broken clouds,0.0,0
99,ilulissat,GL,69.2167,-51.1,59.02,33,20,20.71,few clouds,0.0,0
100,upernavik,GL,72.7868,-56.1549,47.62,65,0,4.56,clear sky,0.0,0
101,malanje,AO,-9.5402,16.341,84.87,16,0,5.26,clear sky,0.0,0
102,cabo san lucas,MX,22.8909,-109.9124,81.7,67,55,8.57,broken clouds,0.0,0
103,rocha,UY,-34.4833,-54.3333,60.33,94,100,4.32,moderate rain,1.54,0
104,grindavik,IS,63.8424,-22.4338,53.55,93,100,16.11,overcast clouds,0.0,0
105,ribeira grande,PT,38.5167,-28.7,77.4,61,20,12.66,few clouds,0.0,0
106,ionia,US,42.9873,-85.0711,73.85,69,40,9.22,scattered clouds,0.0,0
107,punta arenas,CL,-53.15,-70.9167,28.51,93,20,9.22,few clouds,0.0,0
108,provideniya,RU,64.3833,-173.3,48.47,79,100,1.05,overcast clouds,0.0,0
109,portsoy,GB,57.6814,-2.6896,64.65,63,86,11.01,overcast clouds,0.0,0
110,severo-kurilsk,RU,50.6789,156.125,56.25,91,24,11.03,few clouds,0.0,0
111,tevaitoa,PF,-16.7833,-151.5,76.15,68,96,25.64,light rain,0.34,0
112,sycamore,US,41.9889,-88.6868,66.87,92,100,5.75,moderate rain,1.22,0
113,lufilufi,WS,-13.8745,-171.5986,74.98,79,25,19.33,light rain,0.41,0
114,narsaq,GL,60.9167,-46.05,57.42,56,47,4.97,scattered clouds,0.0,0
115,kodiak,US,57.79,-152.4072,53.11,87,0,8.05,clear sky,0.0,0
116,rayagada,IN,19.1667,83.4167,76.78,91,95,3.31,overcast clouds,0.0,0
117,saint-philippe,RE,-21.3585,55.7679,72.21,85,61,12.55,light rain,0.37,0
118,dorchester,US,33.1002,-80.3831,75.02,100,75,0.0,broken clouds,0.0,0
119,atar,MR,20.5169,-13.0499,105.42,19,51,13.51,broken clouds,0.0,0
120,richards bay,ZA,-28.783,32.0377,68.05,69,71,7.81,broken clouds,0.0,0
121,simao,CN,22.7886,100.9748,68.83,92,19,2.33,few clouds,0.0,0
122,san jose,US,37.3394,-121.895,58.57,85,20,3.44,few clouds,0.0,0
123,mwinilunga,ZM,-11.7358,24.4293,80.91,23,10,6.04,clear sky,0.0,0
124,east london,ZA,-33.0153,27.9116,65.34,68,0,10.36,clear sky,0.0,0
125,the valley,AI,18.217,-63.0578,84.34,74,75,17.27,broken clouds,0.0,0
126,kapaa,US,22.0752,-159.319,77.32,85,40,14.97,scattered clouds,0.0,0
127,the pas,CA,53.8251,-101.2541,68.02,68,0,5.75,clear sky,0.0,0
128,paamiut,GL,61.994,-49.6678,39.63,94,97,6.76,overcast clouds,0.0,0
129,behshahr,IR,36.6923,53.5526,89.55,40,1,14.2,clear sky,0.0,0
130,mount isa,AU,-20.7333,139.5,51.57,37,2,6.91,clear sky,0.0,0
131,flinders,AU,-34.5833,150.8552,44.38,84,18,4.0,few clouds,0.0,0
132,korla,CN,41.7597,86.1469,84.76,26,99,22.55,overcast clouds,0.0,0
133,kumluca,TR,36.3703,30.2869,86.63,51,0,11.14,clear sky,0.0,0
134,chunhuhub,MX,19.55,-88.6833,82.11,75,100,4.92,overcast clouds,0.0,0
135,malinovskiy,RU,61.1953,62.8397,83.16,47,49,7.74,scattered clouds,0.0,0
136,muroto,JP,33.2833,134.15,79.3,86,100,11.95,moderate rain,2.05,0
137,waipawa,NZ,-41.4122,175.5153,42.53,92,100,7.49,overcast clouds,0.0,0
138,sarankhola,BD,22.3082,89.7897,82.85,84,5,9.33,clear sky,0.0,0
139,chokurdakh,RU,70.6333,147.9167,55.76,81,52,8.99,broken clouds,0.0,0
140,tuktoyaktuk,CA,69.4541,-133.0374,37.4,87,75,10.36,broken clouds,0.0,0
141,pangnirtung,CA,66.1451,-65.7125,50.0,81,75,9.22,broken clouds,0.0,0
142,san patricio,US,28.017,-97.5169,85.87,61,4,9.75,clear sky,0.0,0
143,itamaraca,BR,-7.7478,-34.8256,80.65,68,44,13.85,scattered clouds,0.0,0
144,gat,IL,31.61,34.7642,89.4,29,0,13.18,clear sky,0.0,0
145,dingle,PH,10.9995,122.6711,77.68,90,89,1.43,overcast clouds,0.0,0
146,hammerfest,NO,70.6634,23.6821,61.25,77,40,9.22,scattered clouds,0.0,0
147,ordynskoye,RU,54.3656,81.8994,62.46,65,13,3.8,few clouds,0.0,0
148,carnarvon,AU,-24.8667,113.6333,68.31,60,0,17.47,clear sky,0.0,0
149,dunda,TZ,-8.1167,34.25,82.09,28,48,10.47,scattered clouds,0.0,0
150,de-kastri,RU,51.4667,140.7833,55.38,96,100,4.85,overcast clouds,0.0,0
151,zalantun,CN,48.0,122.7167,65.32,96,84,4.41,broken clouds,0.0,0
152,saint-augustin,CA,51.226,-58.6502,66.33,52,100,14.63,overcast clouds,0.0,0
153,matara,LK,5.9485,80.5353,79.18,84,97,10.0,overcast clouds,0.0,0
154,porto torres,IT,40.835,8.3972,86.18,51,0,9.93,clear sky,0.0,0
155,mackay,AU,-21.15,149.2,63.68,82,44,17.78,light rain,0.32,0
156,hessisch oldendorf,DE,52.1667,9.25,69.15,67,75,9.22,broken clouds,0.0,0
157,klaksvik,FO,62.2266,-6.589,52.72,77,32,13.06,scattered clouds,0.0,0
158,linxia,CN,35.6003,103.2064,62.15,90,100,2.95,moderate rain,2.44,0
159,nikolskoye,RU,59.7035,30.7861,70.88,50,100,6.22,overcast clouds,0.0,0
160,huadian,CN,42.9633,126.7478,63.39,96,72,8.16,broken clouds,0.0,0
161,kahului,US,20.8947,-156.47,76.84,84,40,11.5,scattered clouds,0.0,0
162,tessalit,ML,20.1986,1.0114,108.19,15,3,15.55,clear sky,0.0,0
163,lalmohan,BD,22.3384,90.7419,84.06,81,26,19.24,scattered clouds,0.0,0
164,glendive,US,47.1053,-104.7125,71.22,73,0,6.91,clear sky,0.0,0
165,rivadavia,AR,-33.1905,-68.4608,36.61,85,100,16.6,overcast clouds,0.0,0
166,aklavik,CA,68.2191,-135.0107,46.4,76,75,4.61,broken clouds,0.0,0
167,road town,VG,18.4167,-64.6167,86.09,79,40,13.8,scattered clouds,0.0,0
168,georgetown,MY,5.4112,100.3354,85.95,75,20,4.61,few clouds,0.0,0
169,sept-iles,CA,50.2001,-66.3821,63.12,81,75,5.75,broken clouds,0.0,0
170,bilma,NE,18.6853,12.9164,103.55,20,32,3.78,scattered clouds,0.0,0
171,nanortalik,GL,60.1432,-45.2371,44.51,82,81,9.19,broken clouds,0.0,0
172,netivot,IL,31.4222,34.5886,87.6,50,0,13.47,clear sky,0.0,0
173,sharanga,RU,57.1775,46.5396,62.8,93,98,12.21,overcast clouds,0.0,0
174,saiha,IN,22.4833,92.9667,74.14,97,12,2.01,few clouds,0.0,0
175,barrow,US,71.2906,-156.7887,33.82,86,100,10.36,mist,0.0,0
176,arraial do cabo,BR,-22.9661,-42.0278,76.86,65,0,23.02,clear sky,0.0,0
177,shebunino,RU,46.4339,141.8603,55.8,88,7,15.73,clear sky,0.0,0
178,fuenlabrada,ES,40.2842,-3.7942,102.7,12,0,10.36,clear sky,0.0,0
179,andrews,US,32.3187,-102.5457,76.41,62,0,4.61,clear sky,0.0,0
180,kardonikskaya,RU,43.8617,41.7194,74.19,62,7,4.56,clear sky,0.0,0
181,yumen,CN,40.2833,97.2,72.97,35,100,5.95,overcast clouds,0.0,0
182,homer,US,59.6425,-151.5483,57.78,95,20,5.01,mist,0.0,0
183,alofi,NU,-19.0595,-169.9187,75.09,78,100,8.05,overcast clouds,0.0,0
184,isangel,VU,-19.55,169.2667,72.43,77,98,15.37,overcast clouds,0.0,0
185,kaeo,NZ,-35.1,173.7833,50.32,94,100,5.53,overcast clouds,0.1,0
186,chuy,UY,-33.6971,-53.4616,59.85,98,100,4.63,heavy intensity rain,6.75,0
187,mayskiy,RU,47.6931,40.1025,87.21,22,0,6.04,clear sky,0.0,0
188,fort nelson,CA,58.8053,-122.7002,53.19,94,75,2.3,broken clouds,0.0,0
189,beyla,GN,8.6833,-8.6333,79.84,71,100,2.26,light rain,0.16,0
190,freeport,US,40.6576,-73.5832,79.25,57,40,9.22,scattered clouds,0.0,0
191,koson,UZ,39.0375,65.585,102.52,9,0,11.21,clear sky,0.0,0
192,yulara,AU,-25.2406,130.9889,52.2,24,0,3.56,clear sky,0.0,0
193,aksarka,RU,66.5606,67.7975,67.28,63,100,8.25,overcast clouds,0.0,0
194,adrar,MR,20.5022,-10.0711,106.99,15,15,12.35,few clouds,0.0,0
195,le port,RE,-20.9373,55.2919,72.61,72,74,6.58,light rain,0.11,0
196,agadir,MA,30.4202,-9.5982,84.65,53,18,10.13,few clouds,0.0,0
197,flin flon,CA,54.7682,-101.865,69.64,56,40,9.22,smoke,0.0,0
198,bairiki,KI,1.3292,172.9752,80.6,83,40,11.5,light rain,0.61,0
199,kruisfontein,ZA,-34.0033,24.7314,67.89,67,10,9.73,clear sky,0.0,0
200,olafsvik,IS,64.8945,-23.7142,50.18,79,100,10.63,overcast clouds,0.0,0
201,pevek,RU,69.7008,170.3133,34.27,78,100,3.2,overcast clouds,0.0,0
202,margate,GB,51.3813,1.3862,77.11,34,0,8.93,clear sky,0.0,0
203,tres coroas,BR,-29.5169,-50.7778,67.48,97,100,3.31,overcast clouds,0.0,0
204,pahrump,US,36.2083,-115.9839,83.25,40,92,5.01,overcast clouds,0.0,0
205,gamba,GA,-2.65,10.0,75.13,75,74,8.52,broken clouds,0.0,0
206,guanare,VE,9.0418,-69.7421,78.82,83,14,1.14,few clouds,0.0,0
207,anyang,CN,36.0994,114.3289,78.85,88,100,1.16,overcast clouds,0.0,0
208,vanavara,RU,60.34,102.2797,55.31,76,80,4.56,broken clouds,0.0,0
209,thinadhoo,MV,0.5333,72.9333,84.27,72,65,9.82,broken clouds,0.0,0
210,westport,US,41.1415,-73.3579,78.78,61,40,8.05,scattered clouds,0.0,0
211,komsomolskiy,UZ,40.4272,71.7189,99.32,11,0,4.61,clear sky,0.0,0
212,anadyr,RU,64.75,177.4833,39.7,93,0,2.24,clear sky,0.0,0
213,kishtwar,IN,33.3167,75.7667,65.07,91,100,3.83,overcast clouds,0.0,0
214,menongue,AO,-14.6585,17.691,77.61,16,0,6.46,clear sky,0.0,0
215,fairbanks,US,64.8378,-147.7164,54.82,72,75,6.91,smoke,0.0,0
216,merauke,ID,-8.4667,140.3333,75.13,78,100,16.55,overcast clouds,0.0,0
217,tobol,KZ,52.6844,62.5794,71.2,77,100,17.27,moderate rain,2.51,0
218,marsabit,KE,2.3284,37.9899,76.71,39,92,20.07,overcast clouds,0.0,0
219,saint-joseph,RE,-21.3667,55.6167,71.2,81,56,12.33,light rain,0.19,0
220,ensenada,MX,31.8667,-116.6167,65.95,87,12,2.53,few clouds,0.0,0
221,souillac,MU,-20.5167,57.5167,70.18,88,75,10.36,broken clouds,0.0,0
222,ochiltree,GB,55.4597,-4.3626,69.19,72,20,21.85,few clouds,0.0,0
223,ipixuna,BR,-1.7625,-48.8043,87.67,54,33,5.12,scattered clouds,0.0,0
224,bandarbeyla,SO,9.4942,50.8122,79.79,76,100,29.66,overcast clouds,0.0,0
225,goderich,CA,43.7501,-81.7165,68.32,52,54,4.61,broken clouds,0.0,0
226,banepa,NP,27.6298,85.5214,77.32,78,40,6.91,scattered clouds,0.0,0
227,vera cruz,BR,-12.6333,-41.0333,69.37,48,51,7.38,broken clouds,0.0,0
228,saldanha,ZA,-33.0117,17.9442,71.65,71,100,10.11,overcast clouds,0.0,0
229,kudahuvadhoo,MV,2.6708,72.8944,83.75,72,46,9.1,scattered clouds,0.0,0
230,sao filipe,CV,14.8961,-24.4956,75.18,76,100,6.58,overcast clouds,0.0,0
231,los llanos de aridane,ES,28.6585,-17.9182,74.12,77,0,16.11,clear sky,0.0,0
232,copiapo,CL,-27.3667,-70.3333,47.89,71,66,3.15,broken clouds,0.0,0
233,touros,BR,-5.1989,-35.4608,80.02,76,65,15.79,broken clouds,0.0,0
234,lazaro cardenas,MX,17.9583,-102.2,78.3,87,100,4.88,overcast clouds,0.0,0
235,abu samrah,SY,35.3029,37.1841,95.11,23,0,19.24,clear sky,0.0,0
236,iqaluit,CA,63.7506,-68.5145,56.93,71,20,12.66,few clouds,0.0,0
237,asau,RO,46.4333,26.4,88.29,33,87,6.35,overcast clouds,0.0,0
238,elmadag,TR,39.9208,33.2308,75.18,38,0,8.81,clear sky,0.0,0
239,illapel,CL,-31.6308,-71.1653,43.3,94,100,4.5,light rain,0.45,0
240,egvekinot,RU,66.3167,-179.1667,39.47,69,4,1.23,clear sky,0.0,0
241,lompoc,US,34.6391,-120.4579,57.52,93,0,1.01,clear sky,0.0,0
242,saint-pierre,RE,-21.3393,55.4781,72.28,72,0,18.41,clear sky,0.0,0
243,jinchang,CN,38.4953,102.1739,65.34,66,100,4.88,overcast clouds,0.0,0
244,ixtapa,MX,20.7,-105.2,77.23,94,100,4.61,overcast clouds,0.0,0
245,flagstaff,US,35.1981,-111.6513,66.52,64,68,1.21,broken clouds,0.0,0
246,victoria,HK,22.2855,114.1577,88.32,79,97,8.99,overcast clouds,0.0,0
247,vardo,NO,70.3705,31.1107,62.58,77,0,6.91,clear sky,0.0,0
248,hurghada,EG,27.2574,33.8129,95.04,16,0,20.71,clear sky,0.0,0
249,thompson,CA,55.7435,-97.8558,60.96,77,0,4.61,smoke,0.0,0
250,hami,CN,42.8,93.45,88.2,7,100,10.2,overcast clouds,0.0,0
251,changde,CN,29.0464,111.6783,85.91,68,100,6.38,overcast clouds,0.0,0
252,zeya,RU,53.75,127.2667,66.45,82,12,4.18,few clouds,0.0,0
253,birjand,IR,32.8663,59.2211,93.67,7,0,20.71,clear sky,0.0,0
254,tuatapere,NZ,-46.1333,167.6833,39.74,88,92,4.9,overcast clouds,0.0,0
255,lata,PT,40.1629,-8.3327,90.48,44,96,9.95,overcast clouds,0.0,0
256,rudbar,AF,30.15,62.6,105.26,7,4,3.94,clear sky,0.0,0
257,oriximina,BR,-1.7656,-55.8661,85.59,60,61,4.9,broken clouds,0.0,0
258,geraldton,AU,-28.7667,114.6,54.01,94,100,6.91,overcast clouds,0.0,0
259,tongliao,CN,43.6125,122.2653,68.65,89,8,9.86,clear sky,0.0,0
260,coihaique,CL,-45.5752,-72.0662,30.15,80,100,2.3,overcast clouds,0.0,0
261,hlotse,LS,-28.8718,28.045,61.63,24,0,3.85,clear sky,0.0,0
262,tumba,SE,59.1986,17.8332,63.21,53,20,17.27,few clouds,0.0,0
263,meulaboh,ID,4.1363,96.1285,79.88,83,92,5.7,overcast clouds,0.0,0
