City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
365,shingu,JP,77.29,33.7333,135.9833,overcast clouds,Shingu UI Hotel
366,sorong,ID,79.93,-0.8833,131.25,moderate rain,Waigo Splash Hotel
369,cuamba,MZ,76.86,-14.8031,36.5372,broken clouds,Hotel Vision
370,labuhan,ID,80.47,-6.8844,112.2051,broken clouds,DoubleFAG
372,panzhihua,CN,82.96,26.5851,101.7128,overcast clouds,Electric Power Hotel
373,riverton,US,78.04,40.5219,-111.9391,clear sky,Ramada by Wyndham Draper
375,aloleng,PH,80.47,16.1307,119.7824,overcast clouds,Steve Walden and Emma Sison-Walden Residence
376,simpang,ID,78.4,-1.2667,104.0833,broken clouds,
377,el campo,US,78.87,29.1966,-96.2697,clear sky,"Lonestar Inn, El Campo Texas"
380,ceuta,ES,84.22,35.8903,-5.3075,few clouds,Ceuta Puerta de Africa
382,buala,SB,79.39,-8.145,159.5921,few clouds,Maringe Lagoon Lodge
383,sovetskiy,RU,80.33,61.3614,63.5842,scattered clouds,Apartment on Kievskaya 29
388,wanning,CN,83.75,18.8003,110.3967,overcast clouds,Paradise Hotel
394,puerto carreno,CO,76.98,6.189,-67.4859,broken clouds,Casa Hotel Victoria
397,maraba,BR,77.18,-5.3686,-49.1178,clear sky,Hotel Del Principe
398,joppatowne,US,77.92,39.4579,-76.3552,broken clouds,Hampton Inn & Suites Edgewood/Aberdeen-South
401,krupina,SK,81.5,48.3554,19.0647,overcast clouds,Ubytovňa Kataster
406,tarkwa,GH,82.17,5.3064,-1.9847,scattered clouds,Te Deum Lodge
409,woodway,US,81.45,31.506,-97.205,clear sky,Best Western Plus Woodway Waco South Inn & Suites
411,martapura,ID,75.29,-3.4167,114.85,moderate rain,Montana Hotel Syariah
414,liku,ID,75.92,-0.7275,119.8922,light rain,Kost annisa
418,lamu,KE,80.82,-2.2717,40.902,clear sky,Lamu House
419,hirara,JP,84.47,24.8,125.2833,broken clouds,Hotel Atoll Emerald Miyakojima
427,kudahuvadhoo,MV,81.14,2.6708,72.8944,overcast clouds,Niyama Private Islands Maldives
429,terra santa,BR,81.19,-2.1042,-56.4869,few clouds,Hotel Sarah
430,sao filipe,CV,75.83,14.8961,-24.4956,scattered clouds,Hotel Xaguate
437,makakilo city,US,79.12,21.3469,-158.0858,broken clouds,Marriott's Ko Olina Beach Club
439,jingdezhen,CN,79.07,29.2947,117.2079,overcast clouds,Garden Hotel
441,shelton,US,77.52,41.3165,-73.0932,mist,Hilton Garden Inn Shelton
448,namtsy,RU,79.38,62.7161,129.6658,scattered clouds,"""Эңсиэли Киин"""
449,coreau,BR,82.13,-3.5333,-40.6567,few clouds,LOJA E POUSADA CARCARÁ
450,maumere,ID,75.74,-8.6199,122.2111,scattered clouds,Sylvia Hotel
454,buzias,RO,84.52,45.6492,21.6036,few clouds,Hotel Buzias
457,puerto el triunfo,SV,76.33,13.2833,-88.55,broken clouds,Hotel Jardin
458,tautira,PF,75.04,-17.7333,-149.15,scattered clouds,Pension Oaoa
460,kampong thum,KH,81.45,12.7111,104.8887,overcast clouds,Sambor Village Hotel
461,phan thiet,VN,82.56,10.9333,108.1,broken clouds,Hotel Saigon-PT
462,naze,JP,79.72,28.3667,129.4833,overcast clouds,Shishime Hotel
465,klyavlino,RU,79.56,54.2649,52.0267,clear sky,
467,bangkal,PH,75.13,6.0667,121.0667,moderate rain,JB's Resort
468,camargo,MX,77.67,27.6667,-105.1667,scattered clouds,Hotel Santa Fe
469,pemangkat,ID,82.22,1.1667,108.9667,overcast clouds,Ramah Kost KITA
470,mayo,US,78.98,38.8876,-76.5119,clear sky,Resorts Resource Group International
471,bocas del toro,PA,78.85,9.3333,-82.25,overcast clouds,Hotel Bocas del Toro
473,ulaanbaatar,MN,80.73,47.9077,106.8832,scattered clouds,The Blue Sky Hotel and Tower
474,san patricio,US,83.89,28.017,-97.5169,broken clouds,"Motel 6 Sinton, TX"
477,yumen,CN,76.53,40.2833,97.2,overcast clouds,
479,ailigandi,PA,79.18,9.2333,-78.0167,overcast clouds,Akwa Reef Lodge
481,borovskoy,KZ,75.4,53.8,64.15,light rain,Аренда жилья/Баня
483,porto novo,BJ,83.19,6.4965,2.6036,light rain,Tour Eiffel Hotel Benin
484,humaita,BR,78.01,-7.5061,-63.0208,few clouds,Corrêa Hotel
485,touros,BR,80.46,-5.1989,-35.4608,scattered clouds,INN NEW HORIZON
486,bosanska krupa,BA,84.49,44.8825,16.1514,clear sky,Prenoćište Han Bosanska Krupa
489,kalemie,CD,78.53,-5.9475,29.1947,broken clouds,Mahobilali
495,kondratovo,RU,82.69,57.9804,56.1066,clear sky,Gall&anna
496,dalian,CN,75.13,38.9122,121.6022,clear sky,Kempinski Hotel Dalian
498,puerto cabezas,NI,78.37,14.0351,-83.3888,overcast clouds,Cabaña Caribe
501,malpe,IN,81.7,13.35,74.7167,overcast clouds,Hotel Sri Krishna Residency
503,rajpipla,IN,79.27,21.8667,73.5,overcast clouds,Lal Tower Govt. Guest House
516,ormond beach,US,78.03,29.2858,-81.0559,mist,Makai Beach Lodge
524,sergeyevka,KZ,75.83,53.88,67.4158,scattered clouds,Amina
528,mbini,GQ,80.55,1.574,9.6134,broken clouds,
530,champerico,GT,76.59,14.3,-91.9167,scattered clouds,"Hotel y restaurante ""El Diamante"""
536,seoul,KR,80.2,37.5683,126.9778,broken clouds,LOTTE HOTEL SEOUL
538,sibolga,ID,79.03,1.7427,98.7792,few clouds,Hotel Syariah CN Darussalam
542,malyye derbety,RU,81.57,47.9547,44.6808,light rain,
544,burla,IN,83.14,21.5,83.8667,broken clouds,VSSUT Guest House
548,tateyama,JP,81.1,34.9833,139.8667,overcast clouds,Tateyama Seaside Hotel
553,partyzany,UA,80.83,46.3314,34.7503,clear sky,
554,pasighat,IN,78.35,28.0667,95.3333,overcast clouds,Siang Guest House
556,huilong,CN,82.92,31.8111,121.655,scattered clouds,Hilton Garden Inn Qidong
559,doume,CM,75.27,4.2333,13.45,overcast clouds,Hotel Universel
565,carutapera,BR,82.47,-1.195,-46.02,few clouds,Lidera
567,laredo,US,79.09,27.5064,-99.5075,clear sky,La Quinta Inn by Wyndham Laredo I-35
573,dingle,PH,76.05,10.9995,122.6711,overcast clouds,SEGAYA PROPERTY
576,bhusawal,IN,75.16,21.05,75.7667,overcast clouds,Ganesh Park (Udita Construction)
